"Genes"	"G3M19LEG"	"G3M5CM"	"G3M5LEG"	"RMS1"	"RMS3"	"RMS_3"	"T_LEFT"	"T_LEG"
"59"	"ENSG00000279961"	0	0.0066042	0	0	0	0	0	0.03189
"60"	"ENSG00000250506"	0.808710666666667	0.768688333333333	0.413525333333333	0.331722666666667	0.533174666666667	0.0957686666666667	0.522312	0.19385
"61"	"ENSG00000280314"	0.0177522820096774	0.0123516142258065	0.00879550661387097	0.00405546206451613	0.0111853071506452	0.0108181658467742	0.00505744637096774	0.173236942743871
"62"	"ENSG00000174970"	0.05387533	0.01182553	0.01769808	0.018681611	0.02270436	0.042559186	0.01288763	0.6005676
"63"	"ENSG00000213439"	0	0	0	0	0	0	0	0
"64"	"ENSG00000272987"	0	0	0	0	0	0	0	0
"65"	"ENSG00000157601"	1.1385516	0.058437957	1.20938534	0.33860371	0.51111992	0.174553418	0.0886252	0.425849252
"66"	"ENSG00000172940"	0.7228665	0.09600205	0.7538315	1.1090925	0.46026865	0.21431875	0.0993894	0.855404
"67"	"ENSG00000181001"	0	0	0	0	0	0	0	0.106574
"68"	"ENSG00000145246"	0.335546833333333	0.199743333333333	0.434389683333333	0.26526225	0.296444	0.0657813	0.1572468852	0.676959333333333
"69"	"ENSG00000136839"	0	0	0	0	0	0.03496255	0	0
"70"	"ENSG00000255298"	0	0	0	0	0	0	0	0.037739125
"71"	"ENSG00000187747"	0	0	0	0.0296633	0	0.0207249	0	0.443505
"72"	"ENSG00000211829"	0.690454	0.0793312	1.36391	0	0	0	0.0125758	0.177982
"73"	"ENSG00000211751"	21.78135	0.122925666666667	44.2271933333333	3.78853333333333	3.65880666666667	0.119042666666667	0.232051	6.98784666666667
"74"	"ENSG00000277734"	0.5667	0	12.5003	0	0.02905875	0	0	0.04746625
"75"	"ENSG00000211689"	0.3544234	0	4.085834	0	0	0	0.01400196	0.1038244
"76"	"ENSG00000211675"	0.827425666666667	0	26.2880215833333	0.0403826666666667	0	0	0.0428805	0.1974565
"77"	"ENSG00000211592"	81.4268	2.84693	6691.45	0	0	0.12738	0.802057	6.60014
"78"	"ENSG00000211895"	20.5189715	0.2852735	280.779932	0	0	0	0.053059	0.77266
"79"	"ENSG00000211891"	0	0	0	0	0	0	0	0
"80"	"ENSG00000211896"	1.419289125	0.2108472	349.068922	0	0	0.0085813	0.0972754875	0.100577575
"81"	"ENSG00000211898"	0.214858	0.26848245	0.449766	0	0.0133223	0	0.0755995	0.3380915
"82"	"ENSG00000211899"	7.92992	15.83885	269.942	0	0.0648215	0.0875155	16.17506	0.783405
"83"	"ENSG00000211611"	0.996975	0	14.5748175	0	0	0	0	0.36771
"84"	"ENSG00000239951"	0	0	0.242714	0	0	0	0	0.64988
"85"	"ENSG00000211598"	0.669559583333333	0.067431125	42.8212554583333	0	0	0	0	0.470678375
"86"	"ENSG00000211974"	0.233630714285714	0	8.76480285714286	0	0	0	0	0
"87"	"ENSG00000281990"	0.252131282051282	0.0152097692307692	14.4458768717949	0	0	0	0	0.0264682051282051
"88"	"ENSG00000211649"	3.6754	0.143911333333333	90.6280666666667	0	0	0	0.106494666666667	0
"89"	"ENSG00000211672"	0.592148	0	35.4154	0	0	0	0	0.483508
"90"	"ENSG00000211955"	0	0	0	0	0	0	0	0
"91"	"ENSG00000259490"	0	0.107125	0.1604598	0	0	0	0.0843096	0.234538
"92"	"ENSG00000270550"	0.5180575	0	1.613825	0	0	0	0.068967	0.2955325
"93"	"ENSG00000259261"	0.605663	0	2.08377	0	0	0	0	0
"94"	"ENSG00000282122"	1.62549	0.0988635	24.008755	0	0	0	0	0
"95"	"ENSG00000240382"	1.44147407692308	0.117404384615385	153.819166	0	0	0	0	0.174392307692308
"96"	"ENSG00000211957"	0	0	0.0858853333333333	0	0	0	0	0.591063333333333
"97"	"ENSG00000239855"	0	0	0	0	0	0	0	0
"98"	"ENSG00000211599"	0.3647675	0	0.72620625	0	0	0	0	0
"99"	"ENSG00000211828"	0	2.18331	0	0	0	0	0	0
"100"	"ENSG00000211837"	0	0	0	0	0	0	0	0
"101"	"ENSG00000198727"	4142.79	17268.8	3045.4	15385.8	11283.8	66592.3	22074.6	29094.7
"102"	"ENSG00000198695"	1296.12	5386.98	1662.36	6792.16	5628.97	21189.2	8037.16	18148.3
"103"	"ENSG00000198786"	1069.49	2708.32	556.73	4134.59	3236.21	12538.9	3006.26	1774.32
"104"	"ENSG00000198886"	2134.5	10835.7	1443.23	7291.36	5633.07	36047.2	13725.9	13779.2
"105"	"ENSG00000212907"	3591.57	10221.5	1130.99	10264.1	7623.72	43318.4	14166.9	4717.09
"106"	"ENSG00000198840"	4008.65	17146.3	3598.09	14063.2	10380.5	65073.5	24014.4	50222.5
"107"	"ENSG00000198938"	9276.06	30801.3	5744.48	18633.8	15611.6	88914.5	39132.6	77787.9
"108"	"ENSG00000198899"	6961.1	25792.6	4335.89	17613.5	13304.1	93958.3	34128.4	93639.8
"109"	"ENSG00000228253"	688.98	1828.6	339.896	1187.46	1866.32	15673.4	3594.9	2697.15
"110"	"ENSG00000198712"	10031.4	28624.9	6883.69	24204.4	13634.3	153530	39453.3	119946
"111"	"ENSG00000198804"	9732.42	26293.9	4647.59	21866.3	18732.3	84293.8	31807	29222.6
"112"	"ENSG00000198763"	1815.13	10101.2	1053.67	6086.7	4666.43	30090	12806.3	10667.8
"113"	"ENSG00000198888"	3840.61	18270.7	2813.64	10586.3	9941.72	74189.6	25374.8	31129.9
"114"	"ENSG00000075643"	3.30735	2.29394	1.6949	0.953712	1.22654	0.0796168	1.53458	0.310235
"115"	"ENSG00000101558"	135.193	68.0159	88.836	109.55	109.662	6.48376	73.7899	26.4917
"116"	"ENSG00000080986"	19.514	0.10991	15.4587	26.6884	27.7828	26.1632	0.136181	6.20072
"117"	"ENSG00000141384"	1.67307	0.621029	0.751616	0.801617	0.374345	0.0692528	0.556133	0.388209
"118"	"ENSG00000132872"	0.230999	0.0294529	0.123121	0.0892482	0.106773	0	0.0121071	0.124755
"119"	"ENSG00000164691"	8.40838	3.516836	8.60706333333333	14.4874755333333	12.022215	2.88811553333333	3.9792435	2.77768366666667
