#1.2									
									
Genes	Genes	D5	D0	D5	D5	D5	D5	D0	D5
ENSMUST00000099396.2	ENSMUST00000099396.2	9.33784	16.2124	3.11124	4.37697	5.07357	0.63558	12.4919	1.40087
ENSMUST00000222166.1	ENSMUST00000222166.1	7.20633	4.92447	4.78272	4.75668	4.70131	0.141969	4.32259	0.483889
ENSMUST00000048962.3	ENSMUST00000048962.3	7.66901	0.0334158	5.1136	2.0743	4.43141	0.807926	0.0187535	0.465166
ENSMUST00000077549.6	ENSMUST00000077549.6	0.134041	0.0249168	0.0974129	0.157933	0.185963	0.653564	0.0209777	5.08176
ENSMUST00000054764.8	ENSMUST00000054764.8	5.3859	16.3162	4.93506	1.83071	1.99494	0.171719	12.4403	0.183386
ENSMUST00000034537.7	ENSMUST00000034537.7	42.8404	2.85448	25.0685	14.8902	27.3511	2.03917	2.1975	6.17393
ENSMUST00000228627.2	ENSMUST00000228627.2	5.07874	3.79279	9.56086	15.5174	10.982	5.66365	2.73362	4.57675
ENSMUST00000102732.9	ENSMUST00000102732.9	22.3061	1.75573	5.15949	2.37675	2.87797	0.287986	2.82608	2.4351
ENSMUST00000152085.8	ENSMUST00000152085.8	11.9101	2.45149	7.80168	2.16783	3.28764	0.0205735	3.57522	1.03971
ENSMUST00000167662.7	ENSMUST00000167662.7	72.9565	14.8675	68.12	133.55	151.465	13.2741	10.1832	11.0898
ENSMUST00000167070.1	ENSMUST00000167070.1	9.10751	1.74138	4.74509	18.94	13.0421	1.35719	0.67943	3.60244
ENSMUST00000069449.6	ENSMUST00000069449.6	35.2464	9.47115	17.4807	24.3939	23.5016	2.13511	8.78267	4.11759
ENSMUST00000020971.13	ENSMUST00000020971.13	3.36761	0.906771	0.575123	1.97196	3.58216	0.29131	1.76396	0.662476
ENSMUST00000035824.10	ENSMUST00000035824.10	6.45399	1.42915	3.83816	4.58137	6.18253	1.08475	1.18791	1.59877
ENSMUST00000144286.1	ENSMUST00000144286.1	9.05926	9.51591	7.2844	6.55452	3.90959	0.294628	6.37839	0.247989
ENSMUST00000123806.7	ENSMUST00000123806.7	2.48986	2.2522	2.47642	2.33054	2.3276	0.78426	1.11966	17.5046
ENSMUST00000227631.1	ENSMUST00000227631.1	0.159325	0.06406	0.0453151	0.0199854	0.0376578	0.0827504	0.0525572	2.19274
ENSMUST00000114751.8	ENSMUST00000114751.8	4.73615	8.47665	1.62273	0.689526	1.01172	0.743287	3.88076	2.67604
ENSMUST00000088652.5	ENSMUST00000088652.5	21.2607	37.4833	19.8367	12.0709	13.1505	2.03497	38.9964	6.4008
ENSMUST00000106213.7	ENSMUST00000106213.7	4.52793	1.19824	0.463047	0.244074	0.233781	0.012459	0.585138	0.165659
