"Genes"	"G3M19LEG"	"G3M5CM"	"G3M5LEG"	"RMS1"	"RMS3"	"RMS_3"	"T_LEFT"	"T_LEG"	"expression_1.x"	"expression_2.x"	"expression_3.x"	"expression_1.y"	"expression_2.y"	"expression_3.y"
"26"	"ENSMUSG00000000247"	0.0707452857142857	0.0160082	0.136072285714286	0.0346197285714286	0.0580575714285714	0.0239622857142857	0.0180688714285714	0.214383714285714	4.45831	4.12978	3.95689	4.45831	4.12978	3.95689
"27"	"ENSMUSG00000000253"	1.520062	46.944395	2.0407075	1.15341	1.15237975	0.40817391	29.3105125	0.8564625	6.42051	7.02724	6.01112	6.42051	7.02724	6.01112
"28"	"ENSMUSG00000000266"	0.197395	0.2644474	0.09951792	0.044542	0.0343272	0.03053876	0.1657464	0.3405047	5.041085	4.96452	4.9842	5.041085	4.96452	4.9842
"29"	"ENSMUSG00000000275"	4.825406	1.42746450003833	2.23789829833333	2.210347839	2.16794563733333	0.35771368	1.053456000324	1.20232633333333	7.2683	7.03098666666667	7.28717666666667	7.2683	7.03098666666667	7.28717666666667
"30"	"ENSMUSG00000000276"	1.92480366666667	0.746250666666667	0.341473066666667	0.7316811	0.8160028	0.129939333333333	0.977522	0.356783333333333	5.23931333333333	5.29163666666667	5.12100333333333	5.23931333333333	5.29163666666667	5.12100333333333
"31"	"ENSMUSG00000000278"	163.304	4.41965	127.381	154.565	168.316	9.83363	5.38758	30.7513	9.60531	9.89289	10.048845	9.60531	9.89289	10.048845
"32"	"ENSMUSG00000000282"	4.45213333333333	1.51559066666667	2.19943	2.08996666666667	3.59745233333333	0.384413333333333	0.75478	0.668526666666667	6.416935	6.408595	6.283025	6.416935	6.408595	6.283025
"33"	"ENSMUSG00000000290"	8.0305156	0.182355	11.7325242	0.3709578	0.6109332	0.1113896	0.1775536	0.71166716	7.38481	6.62851	7.27269	7.38481	6.62851	7.27269
"34"	"ENSMUSG00000000295"	4.53055178	2.36999946	3.4269862	4.640835	3.18023274	0.5502718	2.73887044	1.8660658	7.47433	7.17902	7.2021	7.47433	7.17902	7.2021
"35"	"ENSMUSG00000000296"	0.9872204	5.389736	0.6986682	0.6969666	0.9752406	0.0548234	5.4532594	0.5628066	7.82733	7.55906	7.74798	7.82733	7.55906	7.74798
"36"	"ENSMUSG00000000301"	0.5257915	0.2070298	1.0685837	0.6052252	0.849744	0.0908018	0.3649194	0.1786863113	5.2625	5.56978	5.66877	5.2625	5.56978	5.66877
"37"	"ENSMUSG00000000303"	0.201507333333333	0.108386333333333	0.289158	0.0126872	0.00444813333333333	0.0194568333333333	0.13842	0.484796333333333	8.53849	7.07405	8.31915	8.53849	7.07405	8.31915
"38"	"ENSMUSG00000000305"	0.0195040333333333	1.78294133333333	0.0022261	0.0530478333333333	0.0162085	0.00111654833333333	0.869432666666667	0.776924666666667	6.45315333333333	6.03990666666667	6.12649	6.45315333333333	6.03990666666667	6.12649
"39"	"ENSMUSG00000000317"	5.93416666666667	1.43203766666667	1.57084366666667	0.140792	0.0404403333333333	0.00856343333333333	0.89409	0.488976666666667	5.94709	5.78352	5.63718	5.94709	5.78352	5.63718
"40"	"ENSMUSG00000000320"	0.7785145	0.755242	0.228768	0.04618025	0.0962834	0.0545077	0.2795375	1.2243905	5.79731	5.044925	4.82141	5.79731	5.044925	4.82141
"41"	"ENSMUSG00000000325"	0.3070168	0.55273157	0.200124	0.2466441987	0.39247404	0.1049252164	0.5433847	0.13318289	5.11117333333333	5.189	5.02847666666667	5.11117333333333	5.189	5.02847666666667
"42"	"ENSMUSG00000000326"	10.90251	4.2823975	9.4811	6.57291	7.789555	2.6015531	3.3475535	7.214338	8.79422	8.62403	8.62742	8.79422	8.62403	8.62742
"43"	"ENSMUSG00000000339"	10.1918098	3.7081456	6.478741	7.90141	8.5045126	1.0041796	3.5345824	1.491048	7.60874	7.64335	7.25424	7.60874	7.64335	7.25424
"44"	"ENSMUSG00000000340"	3.2557715	1.66984	0.9899575	2.2667925	2.0417955	3.97644325	2.90650325	2.7322975	6.72399	7.08897	6.97852	6.72399	7.08897	6.97852
"45"	"ENSMUSG00000000359"	4.01516333333333	1.34556633333333	2.26741666666667	4.83627333333333	3.62433533333333	1.22246866666667	0.942711333333333	3.78073666666667	5.256555	5.40601	5.350015	5.256555	5.40601	5.350015
