"probe_id"	"ensembl_id"	"expression"
"1415670_at"	"ENSMUSG00000030058"	8.39237
"1415671_at"	"ENSMUSG00000013160"	9.18403
"1415672_at"	"ENSMUSG00000015341"	10.3371
"1415673_at"	"ENSMUSG00000029446"	7.4344
"1415674_a_at"	"ENSMUSG00000032112"	8.17073
"1415675_at"	"ENSMUSG00000026810"	8.51129
"1415676_a_at"	"ENSMUSG00000022193"	9.55159
"1415677_at"	"ENSMUSG00000002332"	8.09834
"1415678_at"	"ENSMUSG00000021096"	9.3433
"1415679_at"	"ENSMUSG00000036835"	10.5164
"1415680_at"	"ENSMUSG00000014355"	7.26923
"1415681_at"	"ENSMUSG00000025208"	8.35075
"1415682_at"	"ENSMUSG00000022100"	7.39239
"1415683_at"	"ENSMUSG00000020936"	9.30759
"1415684_at"	"ENSMUSG00000038160"	7.4497
"1415685_at"	"ENSMUSG00000020459"	7.69869
"1415686_at"	"ENSMUSG00000026878"	8.48245
"1415687_a_at"	"ENSMUSG00000004207"	10.7936
"1415688_at"	"ENSMUSG00000020794"	9.33309
"1415689_s_at"	"ENSMUSG00000021327"	8.14512
"1415690_at"	"ENSMUSG00000024414"	10.1257
"1415691_at"	"ENSMUSG00000022770"	9.55152
"1415692_s_at"	"ENSMUSG00000020368"	11.1792
"1415693_at"	"ENSMUSG00000022365"	8.71651
"1415694_at"	"ENSMUSG00000021266"	6.70917
"1415695_at"	"ENSMUSG00000030751"	9.09875
"1415696_at"	"ENSMUSG00000020088"	10.3753
"1415697_at"	"ENSMUSG00000029405"	8.02925
"1415698_at"	"ENSMUSG00000021556"	8.24601
"1415699_a_at"	"ENSMUSG00000025156"	9.31579
"1415700_a_at"	"ENSMUSG00000027828"	10.7651
"1415702_a_at"	"ENSMUSG00000037373"	9.54272
"1415703_at"	"ENSMUSG00000025261"	7.92208
"1415704_a_at"	"ENSMUSG00000032803"	9.92798
"1415705_at"	"ENSMUSG00000044600"	8.41754
"1415706_at"	"ENSMUSG00000026553"	10.5117
"1415707_at"	"ENSMUSG00000026965"	8.98277
"1415708_at"	"ENSMUSG00000056579"	9.11847
"1415709_s_at"	"ENSMUSG00000025224"	8.13443
"1415710_at"	"ENSMUSG00000035505"	7.18812
"1415711_at"	"ENSMUSG00000067851"	8.40096
"1415712_at"	"ENSMUSG00000030967"	8.13794
"1415713_a_at"	"ENSMUSG00000041645"	7.22555
"1415714_a_at"	"ENSMUSG00000001158"	10.3908
"1415715_at"	"ENSMUSG00000019295"	7.39398
"1415717_at"	"ENSMUSG00000028677"	7.85085
"1415718_at"	"ENSMUSG00000020519"	8.94395
"1415719_s_at"	"ENSMUSG00000027599"	8.84946
"1415720_s_at"	"ENSMUSG00000034509"	7.44157
"1415721_a_at"	"ENSMUSG00000005982"	8.45658
"1415722_a_at"	"ENSMUSG00000019868"	8.28922
"1415723_at"	"ENSMUSG00000021282"	10.2922
"1415724_a_at"	"ENSMUSG00000006699"	9.35163
"1415725_at"	"ENSMUSG00000022682"	7.64079
"1415726_at"	"ENSMUSG00000055204"	8.21429
"1415727_at"	"ENSMUSG00000028070"	10.0366
"1415728_at"	"ENSMUSG00000022194"	7.47433
"1415729_at"	"ENSMUSG00000024122"	8.36322
"1415730_at"	"ENSMUSG00000034820"	8.48435
"1415731_at"	"ENSMUSG00000026634"	7.87867
"1415732_at"	"ENSMUSG00000007036"	8.63692
"1415734_at"	"ENSMUSG00000079477"	10.2098
"1415735_at"	"ENSMUSG00000024740"	8.90389
"1415736_at"	"ENSMUSG00000001289"	11.198
"1415737_at"	"ENSMUSG00000024712"	8.78906
"1415738_at"	"ENSMUSG00000028567"	8.37995
"1415739_at"	"ENSMUSG00000036733"	8.69321
"1415740_at"	"ENSMUSG00000020708"	8.19496
"1415741_at"	"ENSMUSG00000029234"	9.81874
"1415742_at"	"ENSMUSG00000068328"	7.59
"1415743_at"	"ENSMUSG00000008855"	7.67024
"1415744_at"	"ENSMUSG00000024309"	9.0028
"1415745_a_at"	"ENSMUSG00000022898"	8.02988
"1415746_at"	"ENSMUSG00000005442"	8.29665
"1415747_s_at"	"ENSMUSG00000024404"	9.60097
"1415748_a_at"	"ENSMUSG00000030868"	7.39249
"1415749_a_at"	"ENSMUSG00000028646"	9.53032
"1415750_at"	"ENSMUSG00000040688"	6.06723
"1415751_at"	"ENSMUSG00000028759"	10.2119
"1415752_at"	"ENSMUSG00000036299"	10.2546
"1415753_at"	"ENSMUSG00000003346"	8.13426
"1415754_at"	"ENSMUSG00000033020"	9.47131
"1415755_a_at"	"ENSMUSG00000078923"	8.93565
