"probe_id"	"ensembl_id"	"expression"
"1415792_at"	"ENSMUSG00000027466"	8.10363
"1415793_at"	"ENSMUSG00000018659"	6.76956
"1415794_a_at"	"ENSMUSG00000021395"	9.49816
"1415795_at"	"ENSMUSG00000021395"	5.29488
"1415797_at"	"ENSMUSG00000003534"	6.49082
"1415798_at"	"ENSMUSG00000003534"	4.66486
"1415799_at"	"ENSMUSG00000030216"	7.96176
"1415800_at"	"ENSMUSG00000050953"	10.0405
"1415801_at"	"ENSMUSG00000050953"	3.70599
"1415802_at"	"ENSMUSG00000032902"	6.93191
"1415803_at"	"ENSMUSG00000031778"	5.9346
"1415804_at"	"ENSMUSG00000031778"	4.94929
"1415805_at"	"ENSMUSG00000024225"	3.75332
"1415806_at"	"ENSMUSG00000031538"	8.3339
"1415807_s_at"	"ENSMUSG00000034120"	6.20848
"1415808_at"	"ENSMUSG00000033834"	3.61281
"1415809_at"	"ENSMUSG00000033834"	2.85185
"1415810_at"	"ENSMUSG00000001228"	4.18367
"1415811_at"	"ENSMUSG00000001228"	4.49814
"1415812_at"	"ENSMUSG00000026879"	13.8089
"1415813_at"	"ENSMUSG00000027193"	8.80175
"1415814_at"	"ENSMUSG00000006273"	8.05498
"1415815_at"	"ENSMUSG00000021326"	3.18516
"1415816_at"	"ENSMUSG00000030007"	10.2547
"1415817_s_at"	"ENSMUSG00000030007"	8.7853
"1415818_at"	"ENSMUSG00000018340"	9.53154
"1415819_a_at"	"ENSMUSG00000007564"	9.06065
"1415820_x_at"	"ENSMUSG00000031311"	9.11106
"1415821_at"	"ENSMUSG00000032336"	10.9752
"1415822_at"	"ENSMUSG00000025203"	10.9238
"1415823_at"	"ENSMUSG00000025203"	6.6605
"1415824_at"	"ENSMUSG00000025203"	5.90913
"1415826_at"	"ENSMUSG00000033793"	8.32299
"1415827_a_at"	"ENSMUSG00000027808"	10.6338
"1415828_a_at"	"ENSMUSG00000027808"	8.69127
"1415829_at"	"ENSMUSG00000004880"	9.08691
"1415830_at"	"ENSMUSG00000029012"	7.14756
"1415831_at"	"ENSMUSG00000006998"	9.19724
"1415832_at"	"ENSMUSG00000068122"	4.50059
"1415833_x_at"	"ENSMUSG00000034892"	13.6308
"1415834_at"	"ENSMUSG00000019960"	9.5015
"1415835_at"	"ENSMUSG00000038891"	3.5177
"1415836_at"	"ENSMUSG00000025007"	6.72708
"1415837_at"	"ENSMUSG00000063903"	2.82017
"1415838_at"	"ENSMUSG00000019877"	9.53882
"1415839_a_at"	"ENSMUSG00000057113"	11.1899
"1415840_at"	"ENSMUSG00000032349"	9.8419
"1415841_at"	"ENSMUSG00000027012"	9.48625
"1415842_at"	"ENSMUSG00000024142"	6.35185
"1415843_at"	"ENSMUSG00000024142"	4.17333
"1415844_at"	"ENSMUSG00000024261"	3.53359
"1415845_at"	"ENSMUSG00000024261"	5.03722
"1415846_a_at"	"ENSMUSG00000030851"	2.63654
"1415847_at"	"ENSMUSG00000030851"	3.13339
"1415848_at"	"ENSMUSG00000057170"	5.5728
"1415849_s_at"	"ENSMUSG00000028832"	8.86978
"1415850_at"	"ENSMUSG00000031453"	7.3808
"1415853_at"	"ENSMUSG00000001482"	7.31001
"1415854_at"	"ENSMUSG00000019966"	3.69648
"1415855_at"	"ENSMUSG00000019966"	9.14332
"1415856_at"	"ENSMUSG00000021728"	8.55246
"1415857_at"	"ENSMUSG00000021728"	7.8721
"1415858_at"	"ENSMUSG00000030738"	9.86183
"1415859_at"	"ENSMUSG00000030738"	10.0681
"1415860_at"	"ENSMUSG00000018362"	7.66712
"1415861_at"	"ENSMUSG00000005994"	3.26427
"1415862_at"	"ENSMUSG00000005994"	3.22741
"1415863_at"	"ENSMUSG00000005610"	10.9273
"1415864_at"	"ENSMUSG00000038871"	6.43017
"1415865_s_at"	"ENSMUSG00000038871"	7.53931
"1415866_at"	"ENSMUSG00000030533"	6.34715
"1415867_at"	"ENSMUSG00000007739"	9.72963
"1415868_at"	"ENSMUSG00000007739"	3.76204
"1415869_a_at"	"ENSMUSG00000005566"	8.61437
"1415870_at"	"ENSMUSG00000029767"	11.137
"1415871_at"	"ENSMUSG00000035493"	9.2714
"1415872_at"	"ENSMUSG00000007850"	11.0013
"1415873_a_at"	"ENSMUSG00000025228"	8.84874
"1415874_at"	"ENSMUSG00000037211"	8.67452
"1415876_a_at"	"ENSMUSG00000025362"	12.5355
"1415877_at"	"ENSMUSG00000024501"	8.77994
"1415878_at"	"ENSMUSG00000030978"	7.4406
"1415879_a_at"	"ENSMUSG00000025508"	13.4346
"1415880_a_at"	"ENSMUSG00000031447"	11.7036
"1415881_at"	"ENSMUSG00000041028"	9.11452
"1415882_at"	"ENSMUSG00000041028"	9.76339
"1415883_a_at"	"ENSMUSG00000023433"	3.36134
"1415884_at"	"ENSMUSG00000023433"	5.53041
"1415885_at"	"ENSMUSG00000027350"	5.29532
"1415886_at"	"ENSMUSG00000059013"	6.11418
"1415887_at"	"ENSMUSG00000022757"	9.31695
"1415888_at"	"ENSMUSG00000004897"	9.84343
"1415889_a_at"	"ENSMUSG00000020048"	11.4514
"1415890_at"	"ENSMUSG00000028032"	9.45436
"1415891_at"	"ENSMUSG00000052738"	10.0844
"1415892_at"	"ENSMUSG00000020097"	7.08952
"1415893_at"	"ENSMUSG00000020097"	3.80609
"1415894_at"	"ENSMUSG00000022425"	7.47324
"1415897_a_at"	"ENSMUSG00000008540"	11.1533
"1415898_at"	"ENSMUSG00000008540"	2.97619
"1415899_at"	"ENSMUSG00000052837"	10.6138
"1415900_a_at"	"ENSMUSG00000005672"	3.76293
"1415901_at"	"ENSMUSG00000004846"	8.78689
"1415902_at"	"ENSMUSG00000053644"	3.20062
"1415903_at"	"ENSMUSG00000023169"	6.71904
"1415904_at"	"ENSMUSG00000015568"	10.6785
"1415905_at"	"ENSMUSG00000059654"	3.68508
"1415906_at"	"ENSMUSG00000049775"	13.4262
"1415907_at"	"ENSMUSG00000034165"	8.51147
"1415908_at"	"ENSMUSG00000047514"	9.52962
"1415909_at"	"ENSMUSG00000024966"	6.85266
"1415910_s_at"	"ENSMUSG00000031781"	7.85486
"1415911_at"	"ENSMUSG00000024423"	8.84617
"1415914_at"	"ENSMUSG00000020358"	9.98101
"1415915_at"	"ENSMUSG00000037149"	9.37137
"1415916_a_at"	"ENSMUSG00000021048"	8.08126
"1415917_at"	"ENSMUSG00000021048"	6.80806
"1415918_a_at"	"ENSMUSG00000023456"	9.86241
"1415919_at"	"ENSMUSG00000015094"	9.08871
"1415920_at"	"ENSMUSG00000053536"	8.84352
"1415921_a_at"	"ENSMUSG00000060548"	4.38221
"1415922_s_at"	"ENSMUSG00000047945"	7.0616
"1415923_at"	"ENSMUSG00000033585"	9.75999
"1415924_at"	"ENSMUSG00000026182"	2.9207
"1415925_a_at"	"ENSMUSG00000109511"	6.46596
"1415926_at"	"ENSMUSG00000109511"	6.88773
"1415927_at"	"ENSMUSG00000068614"	11.561
"1415928_a_at"	"ENSMUSG00000031812"	11.5753
"1415929_at"	"ENSMUSG00000031812"	10.2502
"1415930_a_at"	"ENSMUSG00000031812"	11.2471
"1415931_at"	"ENSMUSG00000048583"	3.77961
"1415932_x_at"	"ENSMUSG00000027546"	7.57684
"1415933_a_at"	"ENSMUSG00000000088"	10.9982
"1415934_at"	"ENSMUSG00000034432"	8.10437
"1415935_at"	"ENSMUSG00000023886"	10.0219
"1415936_at"	"ENSMUSG00000028121"	7.12193
"1415937_s_at"	"ENSMUSG00000032504"	6.47564
"1415938_at"	"ENSMUSG00000024503"	3.07442
"1415939_at"	"ENSMUSG00000041559"	10.9323
"1415940_at"	"ENSMUSG00000053581"	7.96291
"1415941_s_at"	"ENSMUSG00000053581"	7.42399
"1415943_at"	"ENSMUSG00000020592"	8.09284
"1415944_at"	"ENSMUSG00000020592"	7.25526
"1415945_at"	"ENSMUSG00000005410"	4.6415
"1415946_at"	"ENSMUSG00000025728"	7.39607
"1415947_at"	"ENSMUSG00000040713"	9.33497
"1415948_at"	"ENSMUSG00000040713"	9.58457
"1415949_at"	"ENSMUSG00000037852"	12.9927
"1415950_a_at"	"ENSMUSG00000032959"	11.3838
"1415951_at"	"ENSMUSG00000001555"	8.91318
"1415952_at"	"ENSMUSG00000024969"	7.39632
"1415953_s_at"	"ENSMUSG00000024969"	6.81771
"1415955_x_at"	"ENSMUSG00000022501"	5.94207
"1415956_a_at"	"ENSMUSG00000031065"	6.40232
"1415957_a_at"	"ENSMUSG00000061032"	7.13297
"1415958_at"	"ENSMUSG00000018566"	8.00737
"1415959_at"	"ENSMUSG00000018566"	6.50402
"1415960_at"	"ENSMUSG00000009350"	4.66262
"1415961_at"	"ENSMUSG00000026223"	10.9518
"1415962_at"	"ENSMUSG00000022312"	10.6616
"1415963_at"	"ENSMUSG00000045427"	9.35973
"1415964_at"	"ENSMUSG00000037071"	12.5251
"1415965_at"	"ENSMUSG00000037071"	7.40509
"1415966_a_at"	"ENSMUSG00000037916"	9.25808
"1415967_at"	"ENSMUSG00000037916"	9.21386
"1415968_a_at"	"ENSMUSG00000032758"	6.39172
"1415969_s_at"	"ENSMUSG00000032758"	2.90678
"1415970_at"	"ENSMUSG00000014313"	11.5705
"1415971_at"	"ENSMUSG00000069662"	9.08299
"1415972_at"	"ENSMUSG00000069662"	7.27465
"1415973_at"	"ENSMUSG00000069662"	8.79279
"1415974_at"	"ENSMUSG00000035027"	8.11974
"1415975_at"	"ENSMUSG00000008393"	8.17718
"1415976_a_at"	"ENSMUSG00000008393"	6.93206
"1415977_at"	"ENSMUSG00000019139"	6.67922
"1415978_at"	"ENSMUSG00000062380"	5.99078
"1415979_x_at"	"ENSMUSG00000043716"	12.7516
"1415980_at"	"ENSMUSG00000062683"	10.7471
"1415981_at"	"ENSMUSG00000008429"	8.98725
"1415982_at"	"ENSMUSG00000008429"	6.98159
"1415983_at"	"ENSMUSG00000021998"	7.95688
"1415984_at"	"ENSMUSG00000062908"	9.62025
"1415985_at"	"ENSMUSG00000033732"	8.82918
"1415986_at"	"ENSMUSG00000000605"	8.89763
"1415987_at"	"ENSMUSG00000034088"	9.94573
"1415988_at"	"ENSMUSG00000034088"	10.0208
"1415989_at"	"ENSMUSG00000027962"	6.42482
"1415990_at"	"ENSMUSG00000021771"	10.3635
"1415991_a_at"	"ENSMUSG00000063576"	10.3083
"1415992_at"	"ENSMUSG00000028454"	6.22027
"1415993_at"	"ENSMUSG00000022351"	8.07765
"1415994_at"	"ENSMUSG00000025479"	9.75961
"1415995_at"	"ENSMUSG00000027997"	6.95994
"1415996_at"	"ENSMUSG00000038393"	11.0968
"1415997_at"	"ENSMUSG00000038393"	7.46838
"1415998_at"	"ENSMUSG00000020402"	8.87377
"1415999_at"	"ENSMUSG00000040289"	6.70945
"1416001_a_at"	"ENSMUSG00000031827"	8.3086
"1416002_x_at"	"ENSMUSG00000031827"	6.55817
"1416003_at"	"ENSMUSG00000037625"	5.11772
"1416004_at"	"ENSMUSG00000018965"	9.69165
"1416005_at"	"ENSMUSG00000021178"	8.23711
"1416006_at"	"ENSMUSG00000027239"	7.98498
"1416007_at"	"ENSMUSG00000023927"	5.1563
"1416008_at"	"ENSMUSG00000023927"	5.67286
"1416009_at"	"ENSMUSG00000032324"	10.6372
"1416010_a_at"	"ENSMUSG00000024772"	8.46689
"1416010_a_at"	"ENSMUSG00000107039"	8.46689
"1416011_x_at"	"ENSMUSG00000024772"	7.15808
"1416011_x_at"	"ENSMUSG00000107039"	7.15808
"1416012_at"	"ENSMUSG00000024772"	5.90159
"1416012_at"	"ENSMUSG00000107039"	5.90159
"1416013_at"	"ENSMUSG00000003363"	8.48466
"1416014_at"	"ENSMUSG00000058355"	8.09827
"1416015_s_at"	"ENSMUSG00000058355"	8.71167
"1416017_at"	"ENSMUSG00000030058"	8.44352
"1416018_at"	"ENSMUSG00000029265"	7.95653
"1416019_at"	"ENSMUSG00000029265"	3.37097
"1416020_a_at"	"ENSMUSG00000006057"	9.29983
"1416021_a_at"	"ENSMUSG00000027533"	10.2167
"1416022_at"	"ENSMUSG00000027533"	8.83276
"1416023_at"	"ENSMUSG00000028773"	6.75415
"1416024_x_at"	"ENSMUSG00000001416"	10.0511
"1416025_at"	"ENSMUSG00000033860"	3.40284
"1416027_at"	"ENSMUSG00000021576"	10.2639
"1416028_a_at"	"ENSMUSG00000020737"	7.03147
"1416029_at"	"ENSMUSG00000037465"	8.4965
"1416030_a_at"	"ENSMUSG00000029730"	5.8268
"1416031_s_at"	"ENSMUSG00000029730"	6.48785
"1416032_at"	"ENSMUSG00000034659"	8.67354
"1416033_at"	"ENSMUSG00000034659"	4.68787
"1416034_at"	"ENSMUSG00000047139"	9.06637
"1416035_at"	"ENSMUSG00000021109"	8.22486
"1416036_at"	"ENSMUSG00000032966"	9.75006
"1416037_a_at"	"ENSMUSG00000034024"	9.51289
"1416038_at"	"ENSMUSG00000001424"	8.22478
"1416039_x_at"	"ENSMUSG00000028195"	11.2318
"1416040_at"	"ENSMUSG00000024768"	13.8218
"1416041_at"	"ENSMUSG00000019970"	11.1691
"1416042_s_at"	"ENSMUSG00000028693"	7.13301
"1416043_at"	"ENSMUSG00000028693"	3.06108
"1416044_at"	"ENSMUSG00000002812"	8.99244
"1416045_a_at"	"ENSMUSG00000000902"	7.81805
"1416046_a_at"	"ENSMUSG00000019810"	6.45414
"1416047_at"	"ENSMUSG00000019810"	3.90832
"1416048_at"	"ENSMUSG00000028796"	8.46619
"1416049_at"	"ENSMUSG00000024827"	4.08844
"1416050_a_at"	"ENSMUSG00000037936"	8.143
"1416051_at"	"ENSMUSG00000024371"	5.71895
"1416052_at"	"ENSMUSG00000031432"	8.20582
"1416053_at"	"ENSMUSG00000034648"	4.1284
"1416054_at"	"ENSMUSG00000012848"	12.8343
"1416056_a_at"	"ENSMUSG00000031059"	11.823
"1416057_at"	"ENSMUSG00000031059"	11.3085
"1416058_s_at"	"ENSMUSG00000025781"	11.5033
"1416059_at"	"ENSMUSG00000027429"	9.18824
"1416060_at"	"ENSMUSG00000020130"	9.41178
"1416061_at"	"ENSMUSG00000020130"	7.65811
"1416062_at"	"ENSMUSG00000020130"	6.57541
"1416063_x_at"	"ENSMUSG00000030368"	2.39597
"1416064_a_at"	"ENSMUSG00000026864"	12.0101
"1416065_a_at"	"ENSMUSG00000031508"	9.02105
"1416066_at"	"ENSMUSG00000030342"	11.7541
"1416067_at"	"ENSMUSG00000001627"	8.94347
"1416068_at"	"ENSMUSG00000031948"	8.11596
"1416069_at"	"ENSMUSG00000021196"	9.16065
"1416070_a_at"	"ENSMUSG00000001674"	7.15388
"1416071_at"	"ENSMUSG00000001674"	7.61906
"1416072_at"	"ENSMUSG00000016494"	10.3386
"1416075_at"	"ENSMUSG00000021067"	6.45286
"1416077_at"	"ENSMUSG00000030790"	5.9545
"1416078_s_at"	"ENSMUSG00000000441"	8.64699
"1416079_a_at"	"ENSMUSG00000029621"	8.42282
"1416080_at"	"ENSMUSG00000028041"	6.0911
"1416081_at"	"ENSMUSG00000031681"	6.99465
"1416082_at"	"ENSMUSG00000020149"	11.6876
"1416083_at"	"ENSMUSG00000024750"	9.40764
"1416084_at"	"ENSMUSG00000024750"	6.4079
"1416085_s_at"	"ENSMUSG00000024750"	9.95436
"1416086_at"	"ENSMUSG00000029344"	7.22493
"1416087_at"	"ENSMUSG00000004849"	7.57986
"1416088_a_at"	"ENSMUSG00000063457"	12.3249
"1416089_at"	"ENSMUSG00000063457"	12.2593
"1416090_at"	"ENSMUSG00000021748"	9.3354
"1416091_at"	"ENSMUSG00000032479"	8.50928
"1416092_a_at"	"ENSMUSG00000032479"	8.22893
"1416093_a_at"	"ENSMUSG00000029066"	8.99653
"1416094_at"	"ENSMUSG00000031555"	9.27835
"1416095_x_at"	"ENSMUSG00000078427"	9.89222
"1416096_at"	"ENSMUSG00000021038"	7.61987
"1416097_at"	"ENSMUSG00000049939"	3.79931
"1416098_at"	"ENSMUSG00000007021"	5.65459
"1416099_at"	"ENSMUSG00000063316"	11.8805
"1416100_at"	"ENSMUSG00000016554"	8.78723
"1416101_a_at"	"ENSMUSG00000036181"	11.0298
"1416102_at"	"ENSMUSG00000022285"	8.84032
"1416103_at"	"ENSMUSG00000022285"	8.66432
"1416104_at"	"ENSMUSG00000018761"	7.40762
"1416105_at"	"ENSMUSG00000113525"	9.44327
"1416105_at"	"ENSMUSG00000025453"	9.44327
"1416106_at"	"ENSMUSG00000073775"	7.13608
"1416107_at"	"ENSMUSG00000020297"	6.16274
"1416108_a_at"	"ENSMUSG00000032353"	10.6809
"1416109_at"	"ENSMUSG00000028673"	9.85587
"1416110_at"	"ENSMUSG00000033272"	7.39479
"1416111_at"	"ENSMUSG00000015396"	5.89831
"1416112_at"	"ENSMUSG00000035885"	10.2253
"1416113_at"	"ENSMUSG00000019428"	8.37642
"1416114_at"	"ENSMUSG00000029309"	12.1931
"1416115_at"	"ENSMUSG00000040044"	7.49204
"1416116_at"	"ENSMUSG00000040044"	5.26073
"1416117_at"	"ENSMUSG00000040044"	5.87673
"1416118_at"	"ENSMUSG00000034317"	6.01911
"1416119_at"	"ENSMUSG00000028367"	11.4822
"1416120_at"	"ENSMUSG00000020649"	3.89905
"1416121_at"	"ENSMUSG00000024529"	11.1058
"1416122_at"	"ENSMUSG00000000184"	10.8143
"1416123_at"	"ENSMUSG00000000184"	8.40559
"1416124_at"	"ENSMUSG00000000184"	5.72525
"1416125_at"	"ENSMUSG00000024222"	8.09273
"1416126_at"	"ENSMUSG00000027395"	4.77224
"1416127_a_at"	"ENSMUSG00000026209"	8.23917
"1416129_at"	"ENSMUSG00000028967"	10.0803
"1416130_at"	"ENSMUSG00000079037"	9.44666
"1416131_s_at"	"ENSMUSG00000015002"	9.34124
"1416132_at"	"ENSMUSG00000015002"	5.98469
"1416133_at"	"ENSMUSG00000015002"	9.70509
"1416134_at"	"ENSMUSG00000006651"	5.68713
"1416135_at"	"ENSMUSG00000035960"	7.77137
"1416136_at"	"ENSMUSG00000031740"	12.0075
"1416137_at"	"ENSMUSG00000021814"	7.89904
"1416138_at"	"ENSMUSG00000021814"	10.113
"1416139_at"	"ENSMUSG00000023140"	4.54258
"1416140_a_at"	"ENSMUSG00000032480"	7.67399
"1416142_at"	"ENSMUSG00000028495"	9.03913
"1416143_at"	"ENSMUSG00000022890"	11.0289
"1416144_a_at"	"ENSMUSG00000029169"	10.7592
"1416145_at"	"ENSMUSG00000029169"	10.2155
"1416146_at"	"ENSMUSG00000020361"	9.04893
"1416147_at"	"ENSMUSG00000020361"	7.69983
"1416148_at"	"ENSMUSG00000022257"	8.29617
"1416149_at"	"ENSMUSG00000046160"	3.56426
"1416150_a_at"	"ENSMUSG00000071172"	9.70816
"1416151_at"	"ENSMUSG00000071172"	7.99557
"1416152_a_at"	"ENSMUSG00000071172"	7.26284
"1416155_at"	"ENSMUSG00000015217"	6.48251
"1416156_at"	"ENSMUSG00000021823"	10.6414
"1416157_at"	"ENSMUSG00000021823"	3.64563
"1416158_at"	"ENSMUSG00000030551"	7.39301
"1416159_at"	"ENSMUSG00000030551"	9.26331
"1416160_at"	"ENSMUSG00000030551"	6.81453
"1416161_at"	"ENSMUSG00000022314"	9.30251
"1416162_at"	"ENSMUSG00000022314"	5.13398
"1416163_at"	"ENSMUSG00000035297"	8.10151
"1416164_at"	"ENSMUSG00000021186"	10.0197
"1416165_at"	"ENSMUSG00000056515"	9.22318
"1416166_a_at"	"ENSMUSG00000025289"	7.82365
"1416167_at"	"ENSMUSG00000025289"	10.1223
"1416168_at"	"ENSMUSG00000000753"	11.8965
"1416169_at"	"ENSMUSG00000062705"	3.20564
"1416170_at"	"ENSMUSG00000005981"	7.4679
"1416171_at"	"ENSMUSG00000022992"	8.59882
"1416172_at"	"ENSMUSG00000020430"	7.65927
"1416173_at"	"ENSMUSG00000020430"	5.02032
"1416174_at"	"ENSMUSG00000027428"	8.12733
"1416175_a_at"	"ENSMUSG00000008892"	10.3226
"1416177_at"	"ENSMUSG00000037070"	9.24746
"1416178_a_at"	"ENSMUSG00000030701"	8.3338
"1416179_a_at"	"ENSMUSG00000032050"	10.1865
"1416180_a_at"	"ENSMUSG00000032050"	9.94564
"1416181_at"	"ENSMUSG00000038503"	10.5713
"1416182_at"	"ENSMUSG00000004931"	6.93889
"1416183_a_at"	"ENSMUSG00000030246"	9.49658
"1416185_a_at"	"ENSMUSG00000028138"	10.3878
"1416186_at"	"ENSMUSG00000028675"	8.2932
"1416187_s_at"	"ENSMUSG00000028675"	9.30536
"1416188_at"	"ENSMUSG00000000594"	6.01008
"1416189_a_at"	"ENSMUSG00000030082"	10.9235
"1416190_a_at"	"ENSMUSG00000030082"	6.06956
"1416191_at"	"ENSMUSG00000030082"	6.90969
"1416192_at"	"ENSMUSG00000006024"	6.30008
"1416193_at"	"ENSMUSG00000027556"	3.56305
"1416194_at"	"ENSMUSG00000028713"	7.83486
"1416195_at"	"ENSMUSG00000006127"	8.12189
"1416196_at"	"ENSMUSG00000032518"	4.45632
"1416197_at"	"ENSMUSG00000024217"	9.00561
"1416198_at"	"ENSMUSG00000016253"	6.78471
"1416199_at"	"ENSMUSG00000031788"	6.88053
"1416200_at"	"ENSMUSG00000024810"	8.68251
"1416201_at"	"ENSMUSG00000017776"	8.10453
"1416202_at"	"ENSMUSG00000004264"	9.2224
"1416203_at"	"ENSMUSG00000004655"	11.8474
