"probe_id"	"ensembl_id"	"expression"
"1415670_at"	"ENSMUSG00000030058"	8.73349
"1415671_at"	"ENSMUSG00000013160"	9.11373
"1415672_at"	"ENSMUSG00000015341"	10.2777
"1415673_at"	"ENSMUSG00000029446"	7.42168
"1415674_a_at"	"ENSMUSG00000032112"	8.083
"1415675_at"	"ENSMUSG00000026810"	8.62264
"1415676_a_at"	"ENSMUSG00000022193"	9.63281
"1415677_at"	"ENSMUSG00000002332"	7.93942
"1415678_at"	"ENSMUSG00000021096"	9.18801
"1415679_at"	"ENSMUSG00000036835"	10.5026
"1415680_at"	"ENSMUSG00000014355"	7.37706
"1415681_at"	"ENSMUSG00000025208"	8.35882
"1415682_at"	"ENSMUSG00000022100"	7.50801
"1415683_at"	"ENSMUSG00000020936"	9.35315
"1415684_at"	"ENSMUSG00000038160"	7.32966
"1415685_at"	"ENSMUSG00000020459"	7.84836
"1415686_at"	"ENSMUSG00000026878"	8.2747
"1415687_a_at"	"ENSMUSG00000004207"	10.8631
"1415688_at"	"ENSMUSG00000020794"	9.1972
"1415689_s_at"	"ENSMUSG00000021327"	8.14463
"1415690_at"	"ENSMUSG00000024414"	10.3174
"1415691_at"	"ENSMUSG00000022770"	9.699
"1415692_s_at"	"ENSMUSG00000020368"	11.3989
"1415693_at"	"ENSMUSG00000022365"	8.68157
"1415694_at"	"ENSMUSG00000021266"	6.61119
"1415695_at"	"ENSMUSG00000030751"	8.95131
"1415696_at"	"ENSMUSG00000020088"	10.5212
"1415697_at"	"ENSMUSG00000029405"	7.84336
"1415698_at"	"ENSMUSG00000021556"	8.45599
"1415699_a_at"	"ENSMUSG00000025156"	9.31117
"1415700_a_at"	"ENSMUSG00000027828"	10.716
"1415702_a_at"	"ENSMUSG00000037373"	9.50378
"1415703_at"	"ENSMUSG00000025261"	7.97716
"1415704_a_at"	"ENSMUSG00000032803"	9.61424
"1415705_at"	"ENSMUSG00000044600"	8.06047
"1415706_at"	"ENSMUSG00000026553"	10.9348
"1415707_at"	"ENSMUSG00000026965"	9.11982
"1415708_at"	"ENSMUSG00000056579"	9.19047
"1415709_s_at"	"ENSMUSG00000025224"	8.11801
"1415710_at"	"ENSMUSG00000035505"	7.1925
"1415711_at"	"ENSMUSG00000067851"	8.50492
"1415712_at"	"ENSMUSG00000030967"	8.48627
"1415713_a_at"	"ENSMUSG00000041645"	7.1949
"1415714_a_at"	"ENSMUSG00000001158"	10.2488
